primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site,ncit_term,ncit_id
Not specified in data,"Ependymoma, NOS",Brain stem,Brain Stem Ependymoma,NCIT:C5098
Not specified in data,"Astrocytoma, anaplastic","Brain, NOS","Anaplastic Astrocytoma, Not Otherwise Specified",NCIT:C129292
Not specified in data,"Germ cell tumor, nonseminomatous","Brain, NOS",Central Nervous System Nongerminomatous Germ Cell Tumor,NCIT:C100093
Not specified in data,"Glioblastoma, NOS","Brain, NOS","Glioblastoma, Not Otherwise Specified",NCIT:C129295
Not specified in data,"Neurofibromatosis, NOS","Brain, NOS",Neurofibromatosis,NCIT:C6727
Not specified in data,"Ependymoma, anaplastic",Brain stem,Brain Stem Ependymoma,NCIT:C5098
Not specified in data,"Rhabdoid tumor, NOS",Brain stem,Atypical Teratoid/Rhabdoid Tumor,NCIT:C6906
Not specified in data,"Astrocytoma, NOS",Brain stem,Brain Stem Astrocytoma,NCIT:C7445
Not specified in data,"Sarcoma, NOS",Overlapping lesion of brain,Brain Sarcoma,NCIT:C5154
Not specified in data,Desmoplastic nodular medulloblastoma,"Brain, NOS",Desmoplastic/Nodular Medulloblastoma,NCIT:C4956
Not specified in data,Subependymal giant cell astrocytoma,"Brain, NOS",Subependymal Giant Cell Astrocytoma,NCIT:C3696
Not specified in data,"Neoplasm, malignant, uncertain whether primary or metastatic","Brain, NOS",Malignant Brain Neoplasm,NCIT:C3568
Not specified in data,"Teratoma, malignant, NOS","Brain, NOS",Central Nervous System Teratoma,NCIT:C5441
Not specified in data,"Meningioma, malignant","Brain, NOS",Cerebral Meningioma,NCIT:C4807
Not specified in data,"Ependymoma, NOS",Overlapping lesion of brain and central nervous system,Ependymoma,NCIT:C3017
Not specified in data,"Sarcoma, NOS","Brain, NOS",Brain Sarcoma,NCIT:C5154
Not specified in data,Astroblastoma,Overlapping lesion of brain,"Astroblastoma, MN1-Altered",NCIT:C4324
Not specified in data,"Oligodendroglioma, NOS","Brain, NOS","Oligodendroglioma, Not Otherwise Specified",NCIT:C129319
Not specified in data,Large cell medulloblastoma,"Brain, NOS",Large Cell Medulloblastoma,NCIT:C6904
Pilocytic Astrocytoma,Gliomas,Brain,Brain Pilocytic Astrocytoma,NCIT:C201975
Pilocytic Astrocytoma,"Unknown, to be completed later","Brain, NOS",Brain Pilocytic Astrocytoma,NCIT:C201975
Pilocytic Astrocytoma,Pilocytic astrocytoma,"Brain, NOS",Brain Pilocytic Astrocytoma,NCIT:C201975
Pilocytic Astrocytoma,Pilocytic astrocytoma,Brain stem,Brain Stem Astrocytoma,NCIT:C7445
Pilocytic Astrocytoma,"Astrocytoma, NOS","Brain, NOS",Brain Pilocytic Astrocytoma,NCIT:C201975
Pilocytic Astrocytoma,"Glioma, malignant","Brain, NOS",Brain Pilocytic Astrocytoma,NCIT:C201975
Pilocytic Astrocytoma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS",Brain Pilocytic Astrocytoma,NCIT:C201975
Pilocytic Astrocytoma,"Neoplasm, malignant","Brain, NOS",Brain Pilocytic Astrocytoma,NCIT:C201975
"Oligodendroglioma, NOS",Gliomas,Brain,"Oligodendroglioma, Not Otherwise Specified",NCIT:C129319
"Astrocytoma, anaplastic",Gliomas,Brain,Anaplastic Astrocytoma,NCIT:C9477
"Oligodendroglioma, anaplastic",Gliomas,Brain,Anaplastic Oligodendroglioma,NCIT:C4326
Atypical teratoid/rhabdoid tumor,Pediatric/AYA Brain Tumors,Brain,Childhood Atypical Teratoid/Rhabdoid Tumor,NCIT:C68634
